Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CIDm00000059,ccRCC,11,30,1.0,-6.830082163933074,"[['ENO1', 'PGK1']]","[['PGK1', 'ENO1', 'VIM', 'PKM', 'VDAC1', 'GAPDH', 'ACTB']]","[['CRYAB', 'VIM', 'PKM', 'DAB2', 'VDAC1', 'GAPDH', 'CLU', 'KRT8', 'CCND1', 'TPI1', 'KRT18', 'CFL1', 'PTPRC', 'ACTB', 'RAC2', 'FTL', 'PEBP1', 'PGK1', 'TPM1', 'TIMP1', 'ENO1']]",2,7,21,0.0666666666666666,0.006060606060606
CIDm00000061,ccRCC,5,30,1.4,-3.4307012753813058,[],"[['PGK1', 'ENO1', 'GAPDH']]","[['CRYAB', 'VIM', 'PKM', 'DAB2', 'VDAC1', 'GAPDH', 'CLU', 'KRT8', 'CCND1', 'TPI1', 'KRT18', 'CFL1', 'PTPRC', 'ACTB', 'RAC2', 'FTL', 'TPM1']]",0,3,17,0.0,0.0
CIDm00000271,ccRCC,401,30,1.9362880886426592,-2.116359238839396,"[['VIM', 'TPM1']]","[['VIM', 'VDAC1', 'GAPDH', 'ENO1', 'ACTB', 'CLU', 'PKM', 'CFL1', 'TPM1', 'DAB2', 'PEBP1', 'KRT18', 'PTPRC', 'SPP1', 'KRT8', 'CRYAB', 'HLA-E', 'TPI1', 'PGK1', 'TIMP1', 'CCND1', 'SERPINA1']]","[['ENO1', 'SPP1', 'CCND1', 'PTPRC', 'VIM', 'FTL', 'CRYAB', 'PKM', 'DAB2', 'PEBP1', 'CLU', 'KRT8', 'PGK1', 'KRT18', 'TPM1', 'TIMP1', 'CFL1', 'HINT1', 'RAC2', 'VDAC1', 'GAPDH', 'ACTB', 'SERPINA1', 'TPI1', 'CD63', 'HLA-E', 'CST3', 'SEC61G']]",2,22,28,0.0666666666666666,0.0001662510390689
CIDm00000529,ccRCC,5,30,0.75,-6.092004816644962,[['TPI1']],"[['ENO1', 'PKM', 'CFL1']]","[['FTL', 'VIM', 'PKM', 'VDAC1', 'GAPDH', 'TIMP1', 'PTPRC', 'ACTB', 'RAC2', 'DAB2', 'CCND1', 'PGK1', 'CFL1', 'ENO1', 'KRT8', 'KRT18', 'TPM1']]",1,3,17,0.0333333333333333,0.0066666666666666
CIDm00000587,ccRCC,8,30,1.8571428571428568,-2.032993854162123,[],[['VDAC1']],"[['VIM', 'PKM', 'GAPDH', 'KRT8', 'PGK1', 'TPM1', 'CFL1', 'ENO1', 'PEBP1', 'TPI1', 'KRT18', 'HINT1', 'ACTB', 'VDAC1', 'FTL', 'TIMP1']]",0,1,16,0.0,0.0
CIDm00000683,ccRCC,9,30,0.625,-8.517873473370685,"[['TPI1', 'PGK1', 'GAPDH']]","[['PGK1', 'ENO1', 'CFL1', 'GAPDH', 'VIM', 'VDAC1', 'ACTB']]","[['CRYAB', 'VIM', 'PKM', 'DAB2', 'VDAC1', 'GAPDH', 'CLU', 'KRT8', 'CCND1', 'TPI1', 'KRT18', 'CFL1', 'PTPRC', 'ACTB', 'RAC2', 'PGK1', 'TPM1', 'ENO1', 'FTL', 'PEBP1', 'CST3', 'TIMP1', 'SPP1', 'HLA-E']]",3,7,24,0.1,0.0111111111111111
CIDm00000724,ccRCC,12,30,1.1,-6.84126932711627,"[['TPI1', 'PGK1']]","[['PGK1', 'ENO1', 'CFL1', 'GAPDH']]","[['CD63', 'PTPRC', 'SPP1', 'CRYAB', 'VIM', 'PKM', 'DAB2', 'VDAC1', 'GAPDH', 'CLU', 'KRT8', 'CCND1', 'TPI1', 'KRT18', 'CFL1', 'ACTB', 'RAC2', 'PGK1', 'ENO1', 'TPM1', 'FTL']]",2,4,21,0.0666666666666666,0.0055555555555555
CIDm00000729,ccRCC,9,30,1.5,-2.524104315808421,"[['TPI1', 'GAPDH']]","[['CFL1', 'PGK1', 'VIM', 'VDAC1', 'ENO1', 'ACTB']]","[['VIM', 'VDAC1', 'PEBP1', 'GAPDH', 'KRT18', 'PKM', 'CLU', 'CFL1', 'ACTB', 'FTL', 'TPI1', 'PGK1', 'TIMP1', 'ENO1', 'HINT1', 'KRT8', 'CCND1', 'TPM1', 'PTPRC', 'CRYAB', 'DAB2', 'CST3', 'SPP1', 'RAC2', 'HLA-E']]",2,6,25,0.0666666666666666,0.0074074074074074
CIDm00001005,ccRCC,12,30,1.25,-5.149644230866956,"[['PKM', 'ENO1']]","[['ENO1', 'PKM', 'VIM', 'VDAC1', 'GAPDH', 'ACTB']]","[['VIM', 'PKM', 'VDAC1', 'GAPDH', 'CLU', 'PGK1', 'ENO1', 'ACTB', 'FTL', 'DAB2', 'PEBP1', 'KRT8', 'CCND1', 'TPI1', 'KRT18', 'TPM1', 'CFL1', 'PTPRC', 'SPP1', 'TIMP1', 'RAC2', 'HINT1', 'SERPINA1']]",2,6,23,0.0666666666666666,0.0055555555555555
CIDm00001903,ccRCC,1,30,1.0,-2.622056375170441,[],[['VDAC1']],"[['CRYAB', 'VIM', 'PEBP1', 'GAPDH', 'KRT8', 'KRT18', 'PTPRC', 'ENO1', 'ACTB']]",0,1,9,0.0,0.0
CIDm00002334,ccRCC,1,30,1.0,-2.4754109910211044,[],"[['PGK1', 'ENO1']]","[['VIM', 'PKM', 'VDAC1', 'GAPDH', 'ACTB']]",0,2,5,0.0,0.0
CIDm00002375,ccRCC,2,30,1.0,-2.0669977174715743,[],"[['SERPINA1', 'GAPDH', 'CCND1', 'ACTB']]","[['FTL', 'PKM', 'DAB2', 'GAPDH', 'CLU', 'KRT8', 'CCND1', 'CST3', 'KRT18', 'TPM1', 'CFL1', 'PTPRC', 'ENO1', 'ACTB', 'CRYAB', 'VIM', 'VDAC1', 'PEBP1', 'SERPINA1', 'TPI1', 'PGK1', 'TIMP1', 'SPP1', 'RAC2', 'HLA-E']]",0,4,25,0.0,0.0
CIDm00002396,ccRCC,13,30,1.2307692307692308,-2.5718541461241378,[],"[['KRT18', 'VIM', 'DAB2', 'VDAC1', 'KRT8', 'PTPRC', 'CFL1', 'GAPDH', 'PKM', 'PEBP1', 'SPP1', 'CCND1', 'ACTB', 'CST3']]","[['FTL', 'VIM', 'PKM', 'DAB2', 'CLU', 'KRT8', 'KRT18', 'TPM1', 'CFL1', 'PTPRC', 'ENO1', 'ACTB', 'CRYAB', 'VDAC1', 'PEBP1', 'GAPDH', 'CD63', 'CCND1', 'CST3', 'SERPINA1', 'TPI1', 'PGK1', 'SPP1', 'HLA-E', 'RAC2', 'TIMP1', 'HINT1']]",0,14,27,0.0,0.0
CIDm00003054,ccRCC,58,30,1.5818181818181818,-2.298106592903239,"[['GAPDH', 'CCND1']]","[['VIM', 'VDAC1', 'GAPDH', 'ENO1', 'ACTB', 'CST3', 'CCND1', 'CLU', 'DAB2', 'CFL1', 'PKM', 'PTPRC', 'PGK1', 'KRT8', 'TPI1', 'KRT18', 'TPM1', 'CRYAB']]","[['CCND1', 'PTPRC', 'PKM', 'KRT8', 'TPI1', 'PGK1', 'KRT18', 'TPM1', 'TIMP1', 'CFL1', 'RAC2', 'FTL', 'CRYAB', 'VIM', 'DAB2', 'VDAC1', 'GAPDH', 'SERPINA1', 'CLU', 'ENO1', 'SPP1', 'ACTB', 'PEBP1', 'CD63', 'CST3', 'HLA-E', 'HINT1', 'SEC61G']]",2,18,28,0.0666666666666666,0.0011494252873563
CIDm00003385,ccRCC,25,30,1.6363636363636365,-2.213010468771242,[],"[['VIM', 'VDAC1', 'ACTB', 'GAPDH', 'KRT8', 'KRT18', 'PKM', 'TPI1', 'TPM1', 'CFL1', 'PTPRC', 'CRYAB']]","[['VDAC1', 'GAPDH', 'ENO1', 'ACTB', 'CRYAB', 'VIM', 'DAB2', 'PEBP1', 'KRT8', 'CCND1', 'TPI1', 'KRT18', 'PTPRC', 'FTL', 'PKM', 'SERPINA1', 'CLU', 'PGK1', 'CST3', 'TPM1', 'CFL1', 'HINT1', 'RAC2', 'HLA-E', 'CD63', 'TIMP1', 'SPP1']]",0,12,27,0.0,0.0
CIDm00003547,ccRCC,6,30,1.3333333333333333,-3.1547402903311004,[],"[['VIM', 'CFL1', 'CCND1', 'ACTB', 'GAPDH', 'SPP1']]","[['VIM', 'KRT8', 'KRT18', 'FTL', 'PKM', 'DAB2', 'VDAC1', 'GAPDH', 'TPI1', 'PTPRC', 'ENO1', 'ACTB', 'CST3', 'CRYAB', 'PEBP1', 'SERPINA1', 'CLU', 'CD63', 'PGK1', 'TPM1', 'TIMP1', 'SPP1', 'RAC2', 'CCND1', 'CFL1']]",0,6,25,0.0,0.0
CIDm00003813,ccRCC,25,30,1.6,-2.1350690793814358,[],"[['GAPDH', 'VIM', 'DAB2', 'PEBP1', 'KRT8', 'KRT18', 'PTPRC', 'ACTB', 'TPM1', 'VDAC1', 'CFL1']]","[['FTL', 'CRYAB', 'VIM', 'PKM', 'VDAC1', 'PEBP1', 'CLU', 'KRT8', 'CCND1', 'PGK1', 'CST3', 'TPM1', 'CFL1', 'PTPRC', 'ENO1', 'ACTB', 'DAB2', 'GAPDH', 'TPI1', 'KRT18', 'SPP1', 'RAC2', 'CD63', 'SERPINA1', 'HLA-E', 'SEC61G', 'HINT1']]",0,11,27,0.0,0.0
CIDm00003891,ccRCC,3,30,1.0,-2.4938139389341205,[],"[['VIM', 'TPM1', 'CFL1', 'GAPDH', 'ACTB', 'VDAC1']]","[['FTL', 'CRYAB', 'PKM', 'DAB2', 'VDAC1', 'PEBP1', 'GAPDH', 'CLU', 'CD63', 'KRT8', 'CCND1', 'TPI1', 'KRT18', 'PTPRC', 'ENO1', 'SPP1', 'ACTB', 'RAC2', 'VIM', 'PGK1', 'CST3', 'TPM1', 'CFL1']]",0,6,23,0.0,0.0
